age,activity,placebrith,gender,town,genre,frequency_of_play,im1,im2,im3,im4,im5,im6,ac1,ac2,ac3,ac4,ac5,ac6,cul1,cul2,cul3,ec1,ec2,ec3,soc1,soc2,soc3,sym1,sym2,sym3,rec1,rec2,rec3,idk1,idk2,idk3,loy1,loy2,loy3,r1,r2,cont1,cont2,id1,id2,id3,id4,id5,id6,longresp1,longresp2,longresp3,longresp4,longresp5,longresp6,realitylong,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f1
2000,студент,Санкт-Петербург,Мужчина,Москва,RPG,несколько раз в месяц,3,2,5,5,6,4,3,5,4,4,5,4,6,6,6,6,5,5,4,4,5,4,7,4,6,6,5,3,4,3,4,5,3,3,5,7,6,7,5,5,7,5,6,Я,У идеальной версии меня,Я,Идеальная версия меня,Образ моего персонажа / Кто-то другой,У образа моего персонажа / Кого-то другого,"Является виртуальной реальностью со своими нормами и паттернами, культурными обычаями",6,6,2,4,4,3,2,2,3,3,7,5,6,7,6,2
1994,Реставратор,Маленький город в Сибири,Мужчина,Санкт-Петербург,"Хорроры, rpg, рогалики и всякая инди",несколько раз в неделю,7,2,7,7,2,4,4,7,1,4,6,7,7,7,7,7,6,5,1,2,1,7,7,4,1,7,1,4,4,4,1,1,1,4,1,7,7,1,4,1,1,4,7,Образ моего персонажа / Кто-то другой,У идеальной версии меня,Идеальная версия меня,Я,Не задумываюсь,Не задумываюсь,"Виртуальное пространство, в котором я могу попробовать новый опыт или приобщиться к вымышленной виртуальной культуре.",1,7,6,1,4,2,1,5,4,1,1,4,4,5,5,7
2000,студент лингвист,Ижевск,Женщина,Долгопрудный,RPG,несколько раз в неделю,1,3,5,6,4,2,1,5,4,4,1,1,3,7,7,3,2,5,1,4,7,2,5,5,1,7,3,4,4,3,3,6,4,1,3,3,5,5,6,3,3,5,7,Образ моего персонажа / Кто-то другой,У образа моего персонажа / Кого-то другого,Я,Я,Не задумываюсь,У образа моего персонажа / Кого-то другого,"Виртуальное пространство, в котором я могу попробовать новый опыт или приобщиться к вымышленной виртуальной культуре.",4,6,1,1,5,1,1,1,7,1,1,6,3,1,7,1
1999,Кинопроизводство,Москва,Мужчина,Москва,Стратегии,несколько раз в месяц,1,5,7,6,7,7,1,5,2,1,2,6,6,7,7,6,5,6,1,7,5,2,7,6,7,6,4,1,2,5,7,7,6,2,3,6,7,7,6,2,2,7,6,Идеальная версия меня,У образа моего персонажа / Кого-то другого,Образ моего персонажа / Кто-то другой,Я,Образ моего персонажа / Кто-то другой,У утопической версии меня,"Виртуальное пространство, в котором я могу попробовать новый опыт или приобщиться к вымышленной виртуальной культуре.",6,4,1,1,7,1,1,1,7,1,1,5,4,1,1,1
2000,студент факультета графический дизайн,Санкт-Петербург,Женщина,Санкт-Петербург,RPG,каждый день,4,4,4,7,6,7,1,3,2,6,4,4,3,5,5,7,5,5,4,3,7,7,7,5,5,4,3,4,4,5,7,7,5,1,4,6,7,4,5,4,5,6,5,Образ моего персонажа / Кто-то другой,У меня,Я,Я,Меня,У меня,"Виртуальное пространство, в котором я могу попробовать новый опыт или приобщиться к вымышленной виртуальной культуре.",7,6,2,4,4,1,1,1,5,1,2,6,4,5,7,1
1994,Татуировщик,Пенза,Женщина,Москва,RPG,несколько раз в месяц,7,7,1,3,7,7,1,7,1,1,1,3,5,7,6,7,7,7,1,1,1,7,7,6,1,2,2,7,4,7,4,6,5,1,5,5,6,1,3,5,1,2,7,Образ моего персонажа / Кто-то другой,У образа моего персонажа / Кого-то другого,Образ моего персонажа / Кто-то другой,Образ моего персонажа / Кто-то другой,Образ моего персонажа / Кто-то другой,У образа моего персонажа / Кого-то другого,Не задумываюсь,7,5,1,1,7,1,1,1,7,1,1,2,6,7,7,1
1997,преподаватель,новосибирск,Женщина,новосибирск,RPG,несколько раз в неделю,5,5,5,5,2,7,5,5,2,4,1,3,5,7,7,4,3,4,5,2,7,7,7,7,5,7,4,4,4,5,4,5,6,3,4,7,7,7,7,6,5,5,7,Образ моего персонажа / Кто-то другой,У образа моего персонажа / Кого-то другого,Я,Я,Не задумываюсь,У утопической версии меня,"Является виртуальной реальностью со своими нормами и паттернами, культурными обычаями",2,5,1,2,5,5,2,3,7,4,5,5,5,1,3,3
2001,Студентик,Москва,Мужчина,Москва,Стратегии,несколько раз в неделю,1,1,1,7,4,7,1,1,1,1,1,1,7,7,7,1,4,4,7,7,4,7,1,7,1,7,4,1,4,1,4,7,1,1,1,5,7,7,1,1,1,1,1,Не задумываюсь,Не задумываюсь,Не задумываюсь,Не задумываюсь,Не задумываюсь,Не задумываюсь,"Виртуальное пространство, в котором я могу попробовать новый опыт или приобщиться к вымышленной виртуальной культуре.",7,7,1,1,7,7,1,1,7,1,1,4,7,1,7,1
2000,Студент Гуманитарного Направления,Город Москва,Мужчина,Город Москва,"В принципе, все представленные жанры, за исключением MMORPG, Battle Royal и симуляторов так или иначе ложатся на мою тарелку. Я не отдаю предпочтения чему-то одному: мне нравятся они все в разное время под настроение.",несколько раз в месяц,1,4,7,4,7,5,1,1,3,4,5,1,5,7,7,1,5,7,3,3,7,7,7,7,7,7,1,3,4,5,7,7,1,1,1,7,7,7,1,7,5,5,7,Образ моего персонажа / Кто-то другой,У образа моего персонажа / Кого-то другого,Я,Я,Меня,У образа моего персонажа / Кого-то другого,"Игровой мир есть вымышленное пространство с возможностями игрового взаимодействия с ним и его наполнением в соответствии с правилами, законами и механиками этого мира, который может иметь свои вымышленные особенности в сфере культуры, истории, реальности и иных предметов.",1,2,1,1,7,4,1,1,3,1,7,1,1,1,5,1
2001,студентка,Москва,Женщина,Москва,RPG,несколько раз в неделю,2,2,5,4,2,6,2,5,5,4,5,6,3,6,6,4,7,4,3,4,6,2,6,4,1,1,1,3,6,3,1,4,2,1,4,2,4,4,6,3,2,3,7,Образ моего персонажа / Кто-то другой,У образа моего персонажа / Кого-то другого,Образ моего персонажа / Кто-то другой,Образ моего персонажа / Кто-то другой,Образ моего персонажа / Кто-то другой,Не задумываюсь,"Является виртуальной реальностью со своими нормами и паттернами, культурными обычаями",7,3,3,4,3,1,1,2,6,1,2,7,4,2,7,4
1983,Системный администратор,г. Кременчуг,Мужчина,Екатеринбург,RPG,несколько раз в месяц,6,6,6,6,6,7,4,2,2,2,2,1,6,7,6,5,7,6,2,2,6,6,7,4,6,5,4,2,2,6,2,3,2,2,2,2,6,6,6,4,1,2,7,Не задумываюсь,У образа моего персонажа / Кого-то другого,Образ моего персонажа / Кто-то другой,Образ моего персонажа / Кто-то другой,Образ моего персонажа / Кто-то другой,У образа моего персонажа / Кого-то другого,"Является игровым виртуальным пространством, где можно проявить свои игровые навыки (реакцию,  логику, ""меткость""...)",2,2,7,2,7,3,2,6,6,2,7,2,2,6,2,6
1997,студентка психфака,Москва,Женщина,Москва,MMORPG,несколько раз в неделю,7,5,7,7,2,7,5,3,3,5,3,6,5,6,7,6,1,5,1,6,6,5,6,7,7,5,7,2,3,2,6,5,3,1,7,4,3,7,6,5,6,5,7,Утопическая версия меня,У утопической версии меня,Идеальная версия меня,Я,Меня,У образа моего персонажа / Кого-то другого,"Виртуальное пространство, в котором я могу попробовать новый опыт или приобщиться к вымышленной виртуальной культуре.",5,2,1,1,1,3,5,1,6,1,1,5,5,1,7,1
1997,студентка,Москва,Женщина,Долгопрудный,RPG,несколько раз в месяц,5,6,7,7,5,6,5,6,5,4,5,4,6,7,6,1,4,4,1,7,7,7,7,7,6,7,4,6,1,7,3,4,2,2,7,7,6,7,6,5,5,4,7,Образ моего персонажа / Кто-то другой,У идеальной версии меня,Идеальная версия меня,Я,Противоположности мне,У меня,"Является виртуальной реальностью со своими нормами и паттернами, культурными обычаями",7,5,1,1,4,1,1,5,4,1,1,1,4,5,6,5
2001,Студент,Ярославль,Женщина,Москва,Стратегии,один раз в месяц и реже,6,3,6,7,1,3,6,7,3,5,6,7,7,7,7,6,5,2,3,3,2,5,7,7,5,6,2,3,5,5,1,3,1,1,5,5,5,7,5,2,2,3,1,Образ моего персонажа / Кто-то другой,У утопической версии меня,Я,Я,Образ моего персонажа / Кто-то другой,У образа моего персонажа / Кого-то другого,"Виртуальное пространство, в котором я могу попробовать новый опыт или приобщиться к вымышленной виртуальной культуре.",2,1,1,3,3,1,1,1,7,1,3,3,1,5,5,3
1998,менеджер в поддержке пользователей и компьютерный лингвист,Липецкая область,Женщина,Москва,RPG,один раз в месяц и реже,3,5,6,7,3,4,3,3,3,3,2,5,4,7,7,4,6,5,1,5,5,4,7,4,5,5,4,2,3,3,4,5,2,2,5,7,5,7,5,5,4,3,7,Образ моего персонажа / Кто-то другой,Не задумываюсь,Образ моего персонажа / Кто-то другой,Я,Меня,У меня,"Виртуальное пространство, в котором я могу попробовать новый опыт или приобщиться к вымышленной виртуальной культуре.",6,3,1,1,4,5,4,1,5,1,2,3,4,5,7,2
1998,Студент,Санкт-Петербург,Мужчина,Москва,RPG,несколько раз в месяц,6,2,7,5,6,7,2,5,6,2,1,4,6,5,5,2,6,5,2,3,6,1,5,6,5,4,1,3,4,4,3,2,1,2,3,5,3,7,7,5,7,6,7,Не задумываюсь,Не задумываюсь,Я,Я,Не задумываюсь,Не задумываюсь,"Виртуальное пространство, в котором я могу попробовать новый опыт или приобщиться к вымышленной виртуальной культуре.",2,3,1,1,7,5,2,1,7,1,1,1,2,1,7,2
2000,Студент,Москва,Женщина,Москва,Визуальные новеллы,от двух до пяти дней в неделю,7,4,3,7,7,7,7,3,4,4,1,7,2,5,4,2,7,6,1,5,6,3,7,5,7,7,5,5,4,5,6,6,6,1,7,4,3,3,6,2,5,5,7,Образ моего персонажа / Кто-то другой,У идеальной версии меня,Идеальная версия меня,Идеальная версия меня,Идеальной версии меня,У меня,"Виртуальное пространство, в котором я могу попробовать новый опыт или приобщиться к вымышленной виртуальной культуре.",6,3,1,1,4,5,3,1,7,1,1,5,5,6,5,1
1993,Администратор в магазине одежды,"Нижнекамск, Татарстан, Россия",Женщина,Санкт-Петербург,Песочницы,несколько раз в месяц,1,2,3,3,6,5,2,6,1,1,4,5,6,6,5,4,7,3,3,3,3,5,2,2,2,3,6,2,3,3,4,5,3,4,4,5,2,6,4,6,2,3,7,Образ моего персонажа / Кто-то другой,У образа моего персонажа / Кого-то другого,Образ моего персонажа / Кто-то другой,Образ моего персонажа / Кто-то другой,У утопической версии меня,У образа моего персонажа / Кого-то другого,"Виртуальное пространство, в котором я могу попробовать новый опыт или приобщиться к вымышленной виртуальной культуре.",6,3,5,4,6,3,2,2,2,2,5,7,4,3,4,7
2001,Долбаеб,Селембимск,Мужчина,Санкт-Петербург,Шутеры,каждый день,5,3,7,2,5,6,1,7,3,4,3,6,6,6,7,2,6,4,4,6,6,6,6,7,6,6,5,2,2,6,3,7,5,3,7,6,3,5,1,6,3,4,4,Идеальная версия меня,У образа моего персонажа / Кого-то другого,Противоположность мне,Я,У утопической версии меня,У идеальной версии меня,"Является виртуальной реальностью со своими нормами и паттернами, культурными обычаями",3,2,3,1,3,2,1,2,6,1,2,6,4,2,2,2
1994,Инженер-проектировщик,Сочи,Женщина,Москва,Экшн,несколько раз в неделю,7,6,7,1,7,2,7,6,1,3,5,2,1,7,6,2,7,5,1,1,3,7,7,4,1,7,2,6,4,3,1,1,1,5,2,4,2,5,5,6,5,5,4,Идеальная версия меня,У образа моего персонажа / Кого-то другого,Образ моего персонажа / Кто-то другой,Образ моего персонажа / Кто-то другой,У утопической версии меня,У меня,"Виртуальное пространство, в котором я могу попробовать новый опыт или приобщиться к вымышленной виртуальной культуре.",7,4,2,1,5,1,1,1,7,5,2,1,1,4,7,2
1999,Студент,СПб,Мужчина,СПб,RPG,каждый день,7,7,4,1,5,7,2,5,3,7,1,4,5,6,7,1,5,7,3,1,7,5,3,7,2,7,4,3,4,7,3,7,5,4,5,4,4,4,7,6,4,7,7,Образ моего персонажа / Кто-то другой,У образа моего персонажа / Кого-то другого,Образ моего персонажа / Кто-то другой,Образ моего персонажа / Кто-то другой,Образ моего персонажа / Кто-то другой,У образа моего персонажа / Кого-то другого,Не задумываюсь,1,1,1,1,4,1,1,1,7,2,2,2,3,7,7,1
2003,школьник,Россия,Мужчина,Екатеринбург,Rogue-like,каждый день,5,4,5,7,6,7,2,6,4,4,1,5,7,7,7,5,7,6,2,5,7,7,7,7,4,7,2,1,2,7,5,6,3,3,7,4,4,6,7,7,7,7,7,Образ моего персонажа / Кто-то другой,У образа моего персонажа / Кого-то другого,Образ моего персонажа / Кто-то другой,Образ моего персонажа / Кто-то другой,Образ моего персонажа / Кто-то другой,У образа моего персонажа / Кого-то другого,"Виртуальное пространство, в котором я могу попробовать новый опыт или приобщиться к вымышленной виртуальной культуре.",4,2,2,2,4,6,7,4,7,1,5,6,6,5,7,5
2000,-,Россия,Женщина,Оренбургская область,RPG,несколько раз в неделю,6,6,7,5,4,6,6,3,4,4,5,4,4,6,7,3,6,6,2,7,6,5,5,5,5,7,4,6,3,4,3,4,3,1,6,3,3,7,5,5,6,6,7,Образ моего персонажа / Кто-то другой,У образа моего персонажа / Кого-то другого,Утопическая версия меня,Образ моего персонажа / Кто-то другой,Не задумываюсь,Не задумываюсь,"Виртуальное пространство, в котором я могу попробовать новый опыт или приобщиться к вымышленной виртуальной культуре.",7,7,1,3,4,2,2,1,4,1,2,5,4,3,5,6
1987,3д-анимация для игр,Обнинск,Мужчина,Москва,"обычно RPG/адвенчуры, что-то сюжетное и с миром. Экшен тоже можно (Half-Life 2, Metro 2033), и туда же Assassin's Creed или Dishonored",несколько раз в неделю,5,3,4,3,4,1,2,6,3,1,2,5,2,7,7,2,7,3,3,2,3,2,1,2,4,5,4,3,3,6,3,5,5,3,3,5,5,6,4,5,4,6,3,Образ моего персонажа / Кто-то другой,У образа моего персонажа / Кого-то другого,Не задумываюсь,Образ моего персонажа / Кто-то другой,Образ моего персонажа / Кто-то другой,Не задумываюсь,"Виртуальное пространство, в котором я могу попробовать новый опыт или приобщиться к вымышленной виртуальной культуре.",4,3,4,1,4,1,1,1,7,4,4,2,1,5,5,4
2000,Студентка,Ст каневская,Женщина,Краснодар,RPG,каждый день,7,7,6,7,5,6,1,1,3,1,5,4,5,7,7,4,7,7,1,5,7,7,7,4,5,7,4,3,1,5,6,3,1,2,5,6,5,7,5,4,4,5,7,Образ моего персонажа / Кто-то другой,У образа моего персонажа / Кого-то другого,Образ моего персонажа / Кто-то другой,Я,Не задумываюсь,Не задумываюсь,"Виртуальное пространство, в котором я могу попробовать новый опыт или приобщиться к вымышленной виртуальной культуре.",3,4,1,3,4,1,1,1,4,4,5,6,7,1,7,5
2001,студент,Сыктывкар,Женщина,Киров,RPG,каждый день,5,7,7,7,6,6,2,7,4,3,6,5,5,7,6,7,6,4,1,5,7,7,7,4,5,7,3,3,2,4,4,5,4,1,5,6,3,6,5,3,6,7,7,Образ моего персонажа / Кто-то другой,У образа моего персонажа / Кого-то другого,Не задумываюсь,Я,Не задумываюсь,У меня,"Виртуальное пространство, в котором я могу попробовать новый опыт или приобщиться к вымышленной виртуальной культуре.",6,3,2,3,5,1,1,1,6,1,4,3,5,7,6,5
2000,Студент,Россия,Мужчина,Москва,Адвенчуры,несколько раз в неделю,7,7,7,3,5,4,2,7,4,3,5,6,7,7,7,3,7,4,2,7,7,7,7,4,2,7,7,2,1,7,4,3,1,1,5,5,4,7,6,7,4,6,6,Идеальная версия меня,У образа моего персонажа / Кого-то другого,Я,Образ моего персонажа / Кто-то другой,Меня,У образа моего персонажа / Кого-то другого,"Является виртуальной реальностью со своими нормами и паттернами, культурными обычаями",7,6,1,1,7,2,1,2,7,6,4,1,3,7,7,1
2000,Data science,Москва,Мужчина,Москва,MMORPG,от двух до пяти дней в неделю,5,1,3,3,3,6,4,2,7,7,4,4,5,4,5,5,5,6,1,6,5,5,5,5,4,5,2,5,6,6,2,5,1,3,1,6,6,5,5,5,2,4,2,Образ моего персонажа / Кто-то другой,У образа моего персонажа / Кого-то другого,Образ моего персонажа / Кто-то другой,Образ моего персонажа / Кто-то другой,Образ моего персонажа / Кто-то другой,Не задумываюсь,"Является виртуальной реальностью со своими нормами и паттернами, культурными обычаями",2,1,2,7,1,2,1,2,7,2,3,1,3,1,2,6
1977,импорт/экспорт,РФ,Мужчина,Ангарск Иркутской области,RPG,каждый день,4,6,6,6,2,4,2,7,2,6,7,7,6,6,6,7,7,6,7,7,7,6,7,6,1,7,2,7,4,7,1,3,1,1,7,7,7,7,6,4,6,4,4,Утопическая версия меня,У идеальной версии меня,Идеальная версия меня,Я,Идеальной версии меня,У меня,"Виртуальное пространство, в котором я могу попробовать новый опыт или приобщиться к вымышленной виртуальной культуре.",6,7,7,5,3,1,1,1,5,1,4,7,2,6,6,7
